dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
covtype,10,10,1000,1.8,1.65,0.1475,0.0552,3,14,2,0,7,6,1,10,11,8,4,9,12,13,5,15
covtype,100,10,1000,1.8,1.65,0.1475,0.0552,14,9,7,6,8,3,10,2,13,0,4,15,1,11,12,5
covtype,1000,10,1000,1.8,1.65,0.1475,0.0552,6,13,10,7,14,15,8,9,5,2,0,4,1,3,12,11
covtype,10,10,5000,1.8571428,1.572,0.0536,0.0297,3,14,2,0,1,7,8,11,10,6,4,9,13,12,15,5
covtype,100,10,5000,1.8571428,1.572,0.0536,0.0297,14,7,9,10,8,6,3,2,12,0,13,15,4,1,11,5
covtype,1000,10,5000,1.8571428,1.572,0.0536,0.0297,14,7,9,8,6,10,2,13,0,15,1,4,12,3,11,5
covtype,10,10,10000,1.875,1.518,0.048,0.0225,14,0,3,10,4,9,7,11,8,1,13,6,12,2,15,5
covtype,100,10,10000,1.875,1.518,0.048,0.0225,7,14,10,9,8,6,3,2,12,0,13,4,11,1,15,5
covtype,1000,10,10000,1.875,1.518,0.048,0.0225,14,7,9,8,10,6,13,2,12,0,15,4,1,11,3,5
covtype,10,10,50000,1.7,1.614,0.0373,0.0185,13,14,15,2,3,11,10,7,9,8,1,0,12,4,6,5
covtype,100,10,50000,1.7,1.614,0.0373,0.0185,7,14,10,9,8,6,12,3,2,13,0,4,11,1,15,5
covtype,1000,10,50000,1.7,1.614,0.0373,0.0185,10,9,14,7,8,6,12,2,0,13,4,1,11,15,3,5
covtype,10,10,100000,1.6363636,1.6068,0.0321,0.0137,13,14,3,2,15,7,10,11,4,1,9,0,8,12,6,5
covtype,100,10,100000,1.6363636,1.6068,0.0321,0.0137,7,10,14,9,8,6,3,12,2,13,0,4,11,15,1,5
covtype,1000,10,100000,1.6363636,1.6068,0.0321,0.0137,10,9,7,14,8,6,12,2,0,13,4,1,11,15,3,5
covtype,10,10,500000,1.6428572,1.498,0.0212,0.0073,13,14,3,2,15,0,1,7,11,4,10,9,8,12,6,5
covtype,100,10,500000,1.6428572,1.498,0.0212,0.0073,10,14,7,9,8,3,12,6,2,13,0,15,11,4,1,5
covtype,1000,10,500000,1.6428572,1.498,0.0212,0.0073,7,10,14,9,8,6,12,2,13,0,4,1,15,11,3,5
covtype,10,20,1000,1.8,1.53,0.146,0.0485,2,3,7,10,4,6,1,8,9,11,14,12,0,13,15,5
covtype,100,20,1000,1.8,1.53,0.146,0.0485,14,7,9,8,3,6,2,13,15,4,1,11,12,0,10,5
covtype,1000,20,1000,1.8,1.53,0.146,0.0485,6,10,7,14,15,13,9,8,5,4,2,0,3,1,12,11
covtype,10,20,5000,2.142857,1.452,0.0569,0.0308,3,7,4,1,10,2,9,8,14,6,11,0,12,13,15,5
covtype,100,20,5000,2.142857,1.452,0.0569,0.0308,7,9,8,14,10,3,2,6,12,4,1,0,11,13,15,5
covtype,1000,20,5000,2.142857,1.452,0.0569,0.0308,14,9,7,8,6,10,13,2,12,1,15,4,0,11,3,5
